Gene_1	Gene_2
YEL048C	YKL117W
YEL048C	YKR068C
YEL048C	YPL240C
YEL050C	YER133W
YEL050C	YGL055W
YEL050C	YGL086W
YEL050C	YOR026W
YEL051W	YGR274C
YEL051W	YJL127C
YEL051W	YLR039C
YEL051W	YLR262C
YEL051W	YOR244W
YEL052W	YKL117W
YEL053C	YDR054C
YEL053C	YER133W
YEL053C	YGR078C
YEL053C	YGR274C
YEL053C	YLR039C
YEL053C	YLR262C
YEL053C	YPL240C
YEL054C	YER133W
YEL054C	YHR129C
YEL055C	YHR081W
YEL055C	YPL211W
YEL056W	YBR060C
YEL056W	YDR359C
YEL056W	YHR090C
YEL056W	YLR103C
YEL056W	YNL261W
YEL058W	YER111C
YEL058W	YGR188C
YEL058W	YGR274C
YEL058W	YLR418C
YEL060C	YDR054C
YEL060C	YKL117W
YEL060C	YPL240C
YEL061C	YAL024C
YEL061C	YBL058W
YEL061C	YBL063W
YEL061C	YBL063W
YEL061C	YBL063W
YEL061C	YBL063W
YEL061C	YBL063W
YEL061C	YBL063W
YEL061C	YBL097W
YEL061C	YBR122C
YEL061C	YBR140C
YEL061C	YBR171W
YEL061C	YCL014W
YEL061C	YCL016C
YEL061C	YCL016C
YEL061C	YCL029C
YEL061C	YCL029C
YEL061C	YCR086W
YEL061C	YCR086W
YEL061C	YCR086W
YEL061C	YDL003W
YEL061C	YDL028C
YEL061C	YDL028C
YEL061C	YDL040C
YEL061C	YDL040C
YEL061C	YDL115C
YEL061C	YDR113C
YEL061C	YDR150W
YEL061C	YDR150W
YEL061C	YDR150W
YEL061C	YDR150W
YEL061C	YDR325W
YEL061C	YDR424C
YEL061C	YDR424C
YEL061C	YDR424C
YEL061C	YDR432W
YEL061C	YDR488C
YEL061C	YDR488C
YEL061C	YDR488C
YEL061C	YDR532C
YEL061C	YEL003W
YEL061C	YEL003W
YEL061C	YER007W
YEL061C	YER111C
YEL061C	YER155C
YEL061C	YER177W
YEL061C	YER177W
YEL061C	YFR031C
YEL061C	YGL086W
YEL061C	YGL086W
YEL061C	YGL086W
YEL061C	YGL086W
YEL061C	YGL086W
YEL061C	YGL116W
YEL061C	YGL167C
YEL061C	YGL168W
YEL061C	YGL216W
YEL061C	YGR078C
YEL061C	YGR078C
YEL061C	YGR078C
YEL061C	YGR104C
YEL061C	YGR113W
YEL061C	YGR113W
YEL061C	YGR184C
YEL061C	YGR188C
YEL061C	YGR188C
YEL061C	YGR229C
YEL061C	YGR229C
YEL061C	YGR229C
YEL061C	YGR274C
YEL061C	YGR285C
YEL061C	YHR013C
YEL061C	YHR013C
YEL061C	YHR041C
YEL061C	YHR129C
YEL061C	YHR129C
YEL061C	YHR191C
YEL061C	YHR191C
YEL061C	YHR191C
YEL061C	YIL017C
YEL061C	YIL153W
YEL061C	YJL013C
YEL061C	YJL013C
YEL061C	YJL013C
YEL061C	YJL013C
YEL061C	YJL030W
YEL061C	YJL030W
YEL061C	YJL030W
YEL061C	YJL030W
YEL061C	YJL030W
YEL061C	YJL030W
YEL061C	YJL030W
YEL061C	YJL081C
YEL061C	YJL124C
YEL061C	YJL179W
YEL061C	YJR053W
YEL061C	YJR053W
YEL061C	YKL048C
YEL061C	YKL048C
YEL061C	YKL049C
YEL061C	YKL057C
YEL061C	YKR054C
YEL061C	YKR054C
YEL061C	YKR054C
YEL061C	YKR054C
YEL061C	YKR054C
YEL061C	YKR054C
YEL061C	YKR061W
YEL061C	YLL003W
YEL061C	YLL049W
YEL061C	YLL049W
YEL061C	YLR182W
YEL061C	YLR182W
YEL061C	YLR200W
YEL061C	YLR210W
YEL061C	YLR226W
YEL061C	YLR254C
YEL061C	YLR268W
YEL061C	YLR272C
YEL061C	YLR418C
YEL061C	YLR418C
YEL061C	YML094W
YEL061C	YML094W
YEL061C	YML094W
YEL061C	YML124C
YEL061C	YML124C
YEL061C	YMR048W
YEL061C	YMR048W
YEL061C	YMR048W
YEL061C	YMR055C
YEL061C	YMR055C
YEL061C	YMR055C
YEL061C	YMR078C
YEL061C	YMR078C
YEL061C	YMR078C
YEL061C	YMR078C
YEL061C	YMR138W
YEL061C	YMR138W
YEL061C	YMR277W
YEL061C	YMR294W
YEL061C	YMR294W
YEL061C	YMR294W
YEL061C	YMR294W
YEL061C	YMR299C
YEL061C	YMR299C
YEL061C	YMR299C
YEL061C	YNL147W
YEL061C	YNL153C
YEL061C	YNL153C
YEL061C	YNL153C
YEL061C	YNL225C
YEL061C	YNL271C
YEL061C	YNL273W
YEL061C	YNL273W
YEL061C	YNL273W
YEL061C	YNL298W
YEL061C	YNL298W
YEL061C	YNL307C
YEL061C	YNR052C
YEL061C	YOR014W
YEL061C	YOR026W
YEL061C	YOR026W
YEL061C	YOR026W
YEL061C	YOR058C
YEL061C	YOR058C
YEL061C	YOR073W
YEL061C	YOR195W
YEL061C	YOR195W
YEL061C	YOR195W
YEL061C	YOR195W
YEL061C	YOR195W
YEL061C	YOR269W
YEL061C	YOR269W
YEL061C	YOR269W
YEL061C	YOR349W
YEL061C	YOR349W
YEL061C	YOR349W
YEL061C	YOR349W
YEL061C	YPL008W
YEL061C	YPL008W
YEL061C	YPL008W
YEL061C	YPL018W
YEL061C	YPL018W
YEL061C	YPL152W
YEL061C	YPL155C
YEL061C	YPL155C
YEL061C	YPL155C
YEL061C	YPL174C
YEL061C	YPL174C
YEL061C	YPL174C
YEL061C	YPL174C
YEL061C	YPL209C
YEL061C	YPL209C
YEL061C	YPL240C
YEL061C	YPL241C
YEL061C	YPL241C
YEL061C	YPL241C
YEL061C	YPR046W
YEL061C	YPR119W
YEL061C	YPR119W
YEL061C	YPR119W
YEL061C	YPR135W
YEL061C	YPR141C
YEL062W	YCL043C
YEL062W	YFL037W
YEL062W	YLR103C
YEL062W	YNL250W
YEL062W	YOR244W
YEL062W	YPL240C
YEL063C	YER069W
YEL063C	YHR018C
YEL063C	YJL088W
YEL063C	YKR039W
YEL063C	YMR062C
YEL063C	YNL270C
YEL063C	YOL058W
YEL063C	YOL140W
YEL063C	YOR130C
YEL064C	YLR425W
YEL064C	YPL240C
YEL065W	YGL043W
YEL065W	YPL240C
YEL066W	YPL240C
YEL067C	YLR425W
YER001W	YBR023C
YER002W	YKL117W
YER003C	YGL086W
YER003C	YMR224C
YER006W	YAL059W
YER006W	YDL031W
YER006W	YKL186C
YER006W	YLR002C
YER006W	YOR206W
YER007C-A	YGR274C
YER007W	YBL034C
YER007W	YCL016C
YER007W	YCL029C
YER007W	YCL029C
YER007W	YEL003W
YER007W	YEL061C
YER007W	YFL037W
YER007W	YGR078C
YER007W	YGR078C
YER007W	YGR188C
YER007W	YHR129C
YER007W	YLR085C
YER007W	YLR200W
YER007W	YLR200W
YER007W	YML085C
YER007W	YML094W
YER007W	YML124C
YER007W	YML124C
YER007W	YML124C
YER007W	YMR078C
YER007W	YMR078C
YER007W	YNL153C
YER007W	YNL153C
YER007W	YOR026W
YER007W	YOR265W
YER007W	YOR265W
YER007W	YPL209C
YER008C	YBR160W
YER008C	YDL006W
YER008C	YDR162C
YER008C	YDR164C
YER008C	YDR164C
YER008C	YDR166C
YER008C	YDR166C
YER008C	YDR170C
YER008C	YER136W
YER008C	YFL005W
YER008C	YFL005W
YER008C	YFL038C
YER008C	YGL233W
YER008C	YGL233W
YER008C	YGR009C
YER008C	YGR009C
YER008C	YIL068C
YER008C	YIL068C
YER008C	YIL118W
YER008C	YJL085W
YER008C	YJL085W
YER008C	YJL085W
YER008C	YLR166C
YER008C	YLR166C
YER008C	YLR229C
YER008C	YLR229C
YER008C	YLR229C
YER008C	YNL272C
YER008C	YNL272C
YER008C	YNL272C
YER008C	YNL293W
YER008C	YNR049C
YER008C	YOL112W
YER008C	YOR122C
YER008C	YOR326W
YER008C	YPR017C
YER008C	YPR055W
YER008C	YPR055W
YER009W	YJL030W
YER011W	YDR054C
YER012W	YDL047W
YER012W	YDR189W
YER012W	YGL086W
YER012W	YLR418C
YER013W	YAL032C
YER013W	YDR364C
YER013W	YKL173W
YER014C-A	YER016W
YER014C-A	YKL190W
YER014C-A	YOL012C
YER014W	YBL099W
YER014W	YGL058W
YER014W	YJL115W
YER014W	YMR038C
YER014W	YOR080W
YER014W	YPR024W
YER016W	YAL013W
YER016W	YAL013W
YER016W	YAL021C
YER016W	YAL024C
YER016W	YAL024C
YER016W	YBL034C
YER016W	YBL097W
YER016W	YBR060C
YER016W	YBR095C
YER016W	YBR095C
YER016W	YBR107C
YER016W	YBR107C
YER016W	YBR107C
YER016W	YBR107C
YER016W	YBR156C
YER016W	YBR200W
YER016W	YBR200W
YER016W	YBR231C
YER016W	YBR231C
YER016W	YBR231C
YER016W	YCL016C
YER016W	YCL016C
YER016W	YCL016C
YER016W	YCL016C
YER016W	YCL016C
YER016W	YCL029C
YER016W	YCL029C
YER016W	YCL029C
YER016W	YCL029C
YER016W	YCL029C
YER016W	YCL029C
YER016W	YCL061C
YER016W	YCL061C
YER016W	YCL061C
YER016W	YCR086W
YER016W	YCR086W
YER016W	YDL040C
YER016W	YDL115C
YER016W	YDL116W
YER016W	YDR014W
YER016W	YDR014W
YER016W	YDR016C
YER016W	YDR150W
YER016W	YDR150W
YER016W	YDR150W
YER016W	YDR150W
YER016W	YDR150W
YER016W	YDR150W
YER016W	YDR159W
YER016W	YDR162C
YER016W	YDR162C
YER016W	YDR162C
YER016W	YDR254W
YER016W	YDR254W
YER016W	YDR254W
YER016W	YDR254W
YER016W	YDR289C
YER016W	YDR315C
YER016W	YDR315C
YER016W	YDR318W
YER016W	YDR318W
YER016W	YDR318W
YER016W	YDR318W
YER016W	YDR332W
YER016W	YDR359C
YER016W	YDR359C
YER016W	YDR378C
YER016W	YDR424C
YER016W	YDR424C
YER016W	YDR424C
YER016W	YDR432W
YER016W	YDR439W
YER016W	YDR439W
YER016W	YDR488C
YER016W	YDR488C
YER016W	YDR488C
YER016W	YDR488C
YER016W	YDR488C
YER016W	YEL003W
YER016W	YEL003W
YER016W	YEL003W
YER016W	YEL003W
YER016W	YEL003W
YER016W	YER014C-A
YER016W	YFL037W
YER016W	YFR019W
YER016W	YFR019W
YER016W	YFR019W
YER016W	YFR030W
YER016W	YFR036W
YER016W	YGL086W
YER016W	YGL086W
YER016W	YGL086W
YER016W	YGL086W
YER016W	YGL086W
YER016W	YGL163C
YER016W	YGL163C
YER016W	YGL173C
YER016W	YGL173C
YER016W	YGL211W
YER016W	YGL216W
YER016W	YGL216W
YER016W	YGL216W
YER016W	YGL216W
YER016W	YGL216W
YER016W	YGL240W
YER016W	YGR002C
YER016W	YGR078C
YER016W	YGR078C
YER016W	YGR078C
YER016W	YGR113W
YER016W	YGR140W
YER016W	YGR180C
YER016W	YGR188C
YER016W	YGR188C
YER016W	YGR188C
YER016W	YGR200C
YER016W	YGR200C
YER016W	YGR229C
YER016W	YGR229C
YER016W	YGR270W
YER016W	YGR270W
YER016W	YGR270W
YER016W	YGR274C
YER016W	YHR115C
YER016W	YHR129C
YER016W	YHR129C
YER016W	YHR129C
YER016W	YHR129C
YER016W	YHR129C
YER016W	YHR129C
YER016W	YHR142W
YER016W	YHR191C
YER016W	YHR191C
YER016W	YHR191C
YER016W	YHR191C
YER016W	YHR191C
YER016W	YHR191C
YER016W	YHR191C
YER016W	YIL017C
YER016W	YIL040W
YER016W	YIL153W
YER016W	YJL006C
YER016W	YJL013C
YER016W	YJL013C
YER016W	YJL013C
YER016W	YJL013C
YER016W	YJL013C
YER016W	YJL030W
YER016W	YJL030W
YER016W	YJL030W
YER016W	YJL030W
YER016W	YJL030W
YER016W	YJL030W
YER016W	YJL030W
YER016W	YJL124C
YER016W	YJL124C
YER016W	YJL179W
YER016W	YJL179W
YER016W	YJR053W
YER016W	YJR053W
YER016W	YJR053W
YER016W	YJR053W
YER016W	YJR053W
YER016W	YJR053W
YER016W	YJR060W
YER016W	YJR104C
YER016W	YJR135C
YER016W	YJR135C
YER016W	YJR135C
YER016W	YKL048C
YER016W	YKL139W
YER016W	YKR037C
YER016W	YKR054C
YER016W	YKR054C
YER016W	YKR054C
YER016W	YKR054C
YER016W	YKR054C
YER016W	YKR054C
YER016W	YKR061W
YER016W	YKR082W
YER016W	YLL049W
YER016W	YLL049W
YER016W	YLL049W
YER016W	YLR085C
YER016W	YLR085C
YER016W	YLR085C
YER016W	YLR085C
YER016W	YLR182W
YER016W	YLR200W
YER016W	YLR200W
YER016W	YLR200W
YER016W	YLR212C
YER016W	YLR212C
YER016W	YLR254C
YER016W	YLR272C
YER016W	YLR315W
YER016W	YLR373C
YER016W	YLR373C
YER016W	YLR381W
YER016W	YLR381W
YER016W	YLR381W
YER016W	YLR384C
YER016W	YLR386W
YER016W	YLR386W
YER016W	YLR399C
YER016W	YLR410W
YER016W	YML016C
YER016W	YML016C
YER016W	YML085C
YER016W	YML094W
YER016W	YML094W
YER016W	YML094W
YER016W	YML094W
YER016W	YML094W
YER016W	YML112W
YER016W	YML124C
YER016W	YMR048W
YER016W	YMR048W
YER016W	YMR048W
YER016W	YMR048W
YER016W	YMR048W
YER016W	YMR048W
YER016W	YMR055C
YER016W	YMR055C
YER016W	YMR055C
YER016W	YMR055C
YER016W	YMR078C
YER016W	YMR078C
YER016W	YMR078C
YER016W	YMR078C
YER016W	YMR224C
YER016W	YMR263W
YER016W	YMR263W
YER016W	YMR263W
YER016W	YMR267W
YER016W	YMR293C
YER016W	YMR294W
YER016W	YMR294W
YER016W	YMR294W
YER016W	YMR294W
YER016W	YMR294W
YER016W	YMR294W
YER016W	YMR299C
YER016W	YMR299C
YER016W	YMR299C
YER016W	YMR312W
YER016W	YNL054W
YER016W	YNL097C
YER016W	YNL097C
YER016W	YNL106C
YER016W	YNL106C
YER016W	YNL107W
YER016W	YNL116W
YER016W	YNL153C
YER016W	YNL153C
YER016W	YNL153C
YER016W	YNL153C
YER016W	YNL153C
YER016W	YNL215W
YER016W	YNL225C
YER016W	YNL271C
YER016W	YNL273W
YER016W	YNL273W
YER016W	YNL273W
YER016W	YNL273W
YER016W	YNL298W
YER016W	YNL307C
YER016W	YNL307C
YER016W	YNL330C
YER016W	YNR051C
YER016W	YNR051C
YER016W	YOL004W
YER016W	YOL012C
YER016W	YOL012C
YER016W	YOL072W
YER016W	YOL076W
YER016W	YOR026W
YER016W	YOR026W
YER016W	YOR026W
YER016W	YOR026W
YER016W	YOR026W
YER016W	YOR058C
YER016W	YOR058C
YER016W	YOR058C
YER016W	YOR058C
YER016W	YOR058C
YER016W	YOR073W
YER016W	YOR144C
YER016W	YOR195W
YER016W	YOR195W
YER016W	YOR195W
YER016W	YOR195W
YER016W	YOR195W
YER016W	YOR269W
YER016W	YOR269W
YER016W	YOR269W
YER016W	YOR269W
YER016W	YOR269W
YER016W	YOR269W
YER016W	YOR295W
YER016W	YOR349W
YER016W	YOR349W
YER016W	YPL008W
YER016W	YPL008W
YER016W	YPL008W
YER016W	YPL017C
YER016W	YPL017C
YER016W	YPL017C
YER016W	YPL018W
YER016W	YPL018W
YER016W	YPL018W
YER016W	YPL101W
YER016W	YPL152W
YER016W	YPL155C
YER016W	YPL155C
YER016W	YPL155C
YER016W	YPL174C
YER016W	YPL174C
YER016W	YPL174C
YER016W	YPL209C
YER016W	YPL209C
YER016W	YPL253C
YER016W	YPR046W
YER016W	YPR046W
YER016W	YPR046W
YER016W	YPR135W
YER016W	YPR135W
YER016W	YPR135W
YER016W	YPR135W
YER016W	YPR141C
YER016W	YPR164W
YER017C	YGR132C
YER017C	YPR024W
YER018C	YGL086W
YER018C	YGR188C
YER018C	YGR274C
YER018C	YIL144W
YER018C	YLR418C
YER018C	YMR117C
YER018C	YOL069W
YER018C	YPL008W
YER019C-A	YER087C-B
YER019C-A	YER087C-B
YER019W	YCL016C
YER019W	YHR030C
YER019W	YMR296C
YER019W	YPR135W
YER020W	YER133W
YER020W	YHR005C
YER020W	YHR205W
YER020W	YHR205W
YER020W	YKL117W
YER020W	YNL098C
YER020W	YNL098C
YER020W	YNL098C
YER020W	YNL098C
YER021W	YFR052W
YER021W	YGL086W
YER021W	YGR274C
YER021W	YLR418C
YER022W	YIL021W
YER022W	YJL074C
YER022W	YLR418C
YER023W	YHR081W
YER023W	YKR039W
YER023W	YLR418C
YER023W	YOR348C
YER023W	YPL211W
YER025W	YGR274C
YER025W	YLR418C
YER025W	YMR190C
YER026C	YCL004W
YER026C	YGL077C
YER027C	YDR028C
YER027C	YGL208W
YER031C	YAL026C
YER031C	YDL226C
YER031C	YGL210W
YER031C	YGR172C
YER031C	YGR172C
YER031C	YHR007C
YER031C	YMR079W
YER031C	YMR218C
YER031C	YNL267W
YER031C	YNL267W
YER032W	YIR008C
YER033C	YLR110C
YER036C	YGL086W
YER036C	YMR190C
YER040W	YKL117W
YER040W	YPL240C
YER041W	YBR098W
YER041W	YHR164C
YER043C	YGR188C
YER043C	YLR303W
YER043C	YMR190C
YER044C	YDR213W
YER044C	YDR213W
YER044C	YLR228C
YER044C	YLR228C
YER044C	YNL280C
YER044C	YNL322C
YER044C	YPL240C
YER048C	YCL043C
YER048C	YGR002C
YER049W	YPL031C
YER049W	YPL031C
YER050C	YER133W
YER050C	YHR129C
YER052C	YGR274C
YER052C	YHR025W
YER054C	YNR052C
YER056C-A	YGR274C
YER056C-A	YIL052C
YER057C	YKL117W
YER059W	YMR311C
YER060W-A	YHR129C
YER061C	YHR129C
YER061C	YKL117W
YER062C	YIL053W
YER063W	YDL084W
YER068W	YAL021C
YER068W	YAL021C
YER068W	YBR089C-A
YER068W	YBR170C
YER068W	YCR093W
YER068W	YDL020C
YER068W	YDL160C
YER068W	YDL192W
YER068W	YDR069C
YER068W	YDR069C
YER068W	YDR313C
YER068W	YDR452W
YER068W	YFR010W
YER068W	YGR252W
YER068W	YGR274C
YER068W	YHL030W
YER068W	YHR200W
YER068W	YIL038C
YER068W	YKL009W
YER068W	YKR005C
YER068W	YLR200W
YER068W	YLR226W
YER068W	YLR226W
YER068W	YLR233C
YER068W	YLR289W
YER068W	YLR360W
YER068W	YMR236W
YER068W	YMR275C
YER068W	YNL229C
YER068W	YNL248C
YER068W	YNR006W
YER068W	YNR052C
YER068W	YNR052C
YER068W	YOL051W
YER068W	YOL054W
YER068W	YOR069W
YER068W	YOR244W
YER068W	YOR290C
YER068W	YOR302W
YER068W	YOR332W
YER068W	YPL084W
YER068W	YPL234C
YER068W	YPR036W
YER068W	YPR052C
YER068W	YPR072W
YER068W	YPR072W
YER068W	YPR161C
YER068W	YPR173C
YER069W	YEL063C
YER069W	YKR039W
YER069W	YNL270C
YER070W	YAL021C
YER070W	YBR060C
YER070W	YDL101C
YER070W	YDL101C
YER070W	YHR129C
YER070W	YML058W
YER070W	YMR190C
YER070W	YMR190C
YER070W	YNL261W
YER072W	YCL043C
YER073W	YAL024C
YER074W	YGR274C
YER074W	YHR129C
YER074W	YIL069C
YER074W	YMR236W
YER074W	YMR294W
YER075C	YDR420W
YER075C	YGR014W
YER075C	YOR208W
YER075C	YOR208W
YER075C	YOR231W
YER081W	YDR019C
YER081W	YIL074C
YER082C	YPL209C
YER083C	YAR003W
YER083C	YBR106W
YER083C	YBR164C
YER083C	YBR194W
YER083C	YBR234C
YER083C	YBR283C
YER083C	YCL004W
YER083C	YDL005C
YER083C	YDL029W
YER083C	YDL029W
YER083C	YDL074C
YER083C	YDL074C
YER083C	YDL090C
YER083C	YDL115C
YER083C	YDL185W
YER083C	YDL232W
YER083C	YDR004W
YER083C	YDR054C
YER083C	YDR129C
YER083C	YDR162C
YER083C	YDR456W
YER083C	YDR477W
YER083C	YDR484W
YER083C	YDR497C
YER083C	YEL044W
YER083C	YER111C
YER083C	YER116C
YER083C	YER122C
YER083C	YGL005C
YER083C	YGL054C
YER083C	YGL058W
YER083C	YGL058W
YER083C	YGL127C
YER083C	YGL167C
YER083C	YGL223C
YER083C	YGR056W
YER083C	YGR063C
YER083C	YGR104C
YER083C	YGR180C
YER083C	YGR274C
YER083C	YHR007C
YER083C	YHR111W
YER083C	YJL123C
YER083C	YJR032W
YER083C	YJR104C
YER083C	YKL080W
YER083C	YKL190W
YER083C	YKL212W
YER083C	YLR027C
YER083C	YLR039C
YER083C	YLR065C
YER083C	YLR079W
YER083C	YLR153C
YER083C	YLR182W
YER083C	YLR226W
YER083C	YLR239C
YER083C	YLR268W
YER083C	YLR370C
YER083C	YML071C
YER083C	YMR038C
YER083C	YMR038C
YER083C	YMR060C
YER083C	YMR125W
YER083C	YMR274C
YER083C	YMR292W
YER083C	YNL041C
YER083C	YNL051W
YER083C	YNL064C
YER083C	YNL147W
YER083C	YNL330C
YER083C	YNR010W
YER083C	YNR051C
YER083C	YOL004W
YER083C	YOL012C
YER083C	YOR070C
YER083C	YOR070C
YER083C	YOR080W
YER083C	YOR080W
YER083C	YOR216C
YER083C	YOR241W
YER083C	YOR244W
YER083C	YPL055C
YER083C	YPL055C
YER083C	YPL069C
YER083C	YPL188W
YER083C	YPL240C
YER087C-B	YCL043C
YER087C-B	YER019C-A
YER087C-B	YER019C-A
YER087W	YCR086W
YER087W	YDR439W
YER087W	YHR154W
YER087W	YJL115W
YER087W	YJL179W
YER087W	YLR320W
YER087W	YNL021W
YER087W	YPR179C
YER089C	YBL056W
YER089C	YDR075W
YER089C	YOR208W
YER092W	YDR054C
YER092W	YGR274C
YER092W	YMR236W
YER093C	YDR364C
YER093C	YER095W
YER093C	YHR030C
YER093C	YKL126W
YER093C	YOR144C
YER093C-A	YGR132C
YER095W	YAL001C
YER095W	YAL021C
YER095W	YAL041W
YER095W	YBL034C
YER095W	YBR088C
YER095W	YBR198C
YER095W	YCR052W
YER095W	YDL064W
YER095W	YDL102W
YER095W	YDL102W
YER095W	YDL102W
YER095W	YDL111C
YER095W	YDL116W
YER095W	YDL120W
YER095W	YDR013W
YER095W	YDR054C
YER095W	YDR075W
YER095W	YDR211W
YER095W	YDR228C
YER095W	YDR238C
YER095W	YDR279W
YER095W	YDR308C
YER095W	YDR311W
YER095W	YDR325W
YER095W	YDR386W
YER095W	YDR454C
YER095W	YEL034W
YER095W	YER093C
YER095W	YER125W
YER095W	YER126C
YER095W	YER171W
YER095W	YER173W
YER095W	YFL002C
YER095W	YFL009W
YER095W	YFL022C
YER095W	YFR004W
YER095W	YFR037C
YER095W	YGL087C
YER095W	YGL098W
YER095W	YGR091W
YER095W	YGR120C
YER095W	YGR158C
YER095W	YGR180C
YER095W	YGR216C
YER095W	YGR251W
YER095W	YHL015W
YER095W	YHR011W
YER095W	YHR058C
YER095W	YIL031W
YER095W	YIL118W
YER095W	YJL002C
YER095W	YJL006C
YER095W	YJL008C
YER095W	YJL031C
YER095W	YJL092W
YER095W	YJR043C
YER095W	YJR104C
YER095W	YKL057C
YER095W	YKL113C
YER095W	YKL113C
YER095W	YKL113C
YER095W	YKL113C
YER095W	YKL113C
YER095W	YKL113C
YER095W	YKL113C
YER095W	YKL113C
YER095W	YKL139W
YER095W	YKL173W
YER095W	YKR008W
YER095W	YKR062W
YER095W	YKR063C
YER095W	YKR082W
YER095W	YKR082W
YER095W	YLL003W
YER095W	YLR033W
YER095W	YLR045C
YER095W	YLR163C
YER095W	YLR182W
YER095W	YLR195C
YER095W	YLR229C
YER095W	YLR233C
YER095W	YLR249W
YER095W	YLR383W
YER095W	YLR430W
YER095W	YLR430W
YER095W	YLR440C
YER095W	YML015C
YER095W	YML028W
YER095W	YML028W
YER095W	YML028W
YER095W	YML028W
YER095W	YML028W
YER095W	YML028W
YER095W	YML069W
YER095W	YML092C
YER095W	YML105C
YER095W	YML112W
YER095W	YMR013C
YER095W	YMR028W
YER095W	YMR198W
YER095W	YMR240C
YER095W	YMR260C
YER095W	YMR284W
YER095W	YMR296C
YER095W	YNL006W
YER095W	YNL038W
YER095W	YNL088W
YER095W	YNL147W
YER095W	YNL244C
YER095W	YNR052C
YER095W	YOL135C
YER095W	YOR144C
YER095W	YOR144C
YER095W	YOR236W
YER095W	YOR294W
YER095W	YOR346W
YER095W	YPL010W
YER095W	YPL020C
YER095W	YPL020C
YER095W	YPL063W
YER095W	YPL075W
YER095W	YPL076W
YER095W	YPL128C
YER095W	YPL167C
YER095W	YPR103W
YER095W	YPR119W
YER095W	YPR135W
YER095W	YPR178W
YER096W	YCL029C
YER096W	YPL031C
YER096W	YPL031C
YER098W	YMR294W
YER099C	YBL068W
YER099C	YGR274C
YER101C	YLR425W
YER102W	YBL072C
YER103W	YAL005C
YER103W	YLL024C
YER103W	YNL064C
YER105C	YBL079W
YER105C	YDR458C
YER105C	YJL061W
YER105C	YML034W
YER105C	YML103C
YER105C	YMR129W
YER107C	YDR101C
YER107C	YDR159W
YER107C	YDR233C
YER107C	YDR315C
YER107C	YGL092W
YER107C	YKL068W
YER107C	YKL068W
YER107C	YLR018C
YER107C	YPR028W
YER110C	YPL075W
YER111C	YAL021C
YER111C	YAL040C
YER111C	YBL061C
YER111C	YBL063W
YER111C	YBL105C
YER111C	YBL105C
YER111C	YBL105C
YER111C	YBL105C
YER111C	YBL105C
YER111C	YBL105C
YER111C	YBR023C
YER111C	YBR171W
YER111C	YBR200W
YER111C	YBR279W
YER111C	YBR279W
YER111C	YCR009C
YER111C	YCR009C
YER111C	YDL056W
YER111C	YDL056W
YER111C	YDL074C
YER111C	YDL074C
YER111C	YDL225W
YER111C	YDR217C
YER111C	YDR293C
YER111C	YDR293C
YER111C	YDR335W
YER111C	YDR335W
YER111C	YDR388W
YER111C	YDR388W
YER111C	YEL058W
YER111C	YEL061C
YER111C	YER083C
YER111C	YER155C
YER111C	YER164W
YER111C	YER167W
YER111C	YER173W
YER111C	YGL003C
YER111C	YGL020C
YER111C	YGL058W
YER111C	YGL058W
YER111C	YGL178W
YER111C	YGR044C
YER111C	YGR229C
YER111C	YGR229C
YER111C	YHR030C
YER111C	YLL021W
YER111C	YLR071C
YER111C	YLR103C
YER111C	YLR182W
YER111C	YLR182W
YER111C	YLR229C
YER111C	YLR330W
YER111C	YLR342W
YER111C	YLR342W
YER111C	YLR403W
YER111C	YLR418C
YER111C	YLR418C
YER111C	YMR239C
YER111C	YMR277W
YER111C	YMR307W
YER111C	YNL188W
YER111C	YNL271C
YER111C	YNL298W
YER111C	YNL298W
YER111C	YNL298W
YER111C	YNL330C
YER111C	YNR052C
YER111C	YOL004W
YER111C	YOL040C
YER111C	YOL115W
YER111C	YOR080W
YER111C	YPL031C
YER111C	YPL031C
YER111C	YPL055C
YER111C	YPL055C
YER111C	YPL055C
YER111C	YPL161C
YER111C	YPR120C
YER112W	YLR418C
YER114C	YDR208W
YER114C	YER133W
YER114C	YMR294W
YER115C	YER133W
YER115C	YPL075W
YER116C	YAR002W
YER116C	YDL064W
YER116C	YDL064W
YER116C	YDR212W
YER116C	YDR363W
YER116C	YDR390C
YER116C	YEL019C
YER116C	YER083C
YER116C	YER133W
YER116C	YGR092W
YER116C	YHR090C
YER116C	YHR164C
YER116C	YHR191C
YER116C	YIL149C
YER116C	YJL127C
YER116C	YKL057C
YER116C	YKL057C
YER116C	YKL113C
YER116C	YKR082W
YER116C	YKR095W
YER116C	YLR234W
YER116C	YMR078C
YER116C	YMR190C
YER116C	YMR190C
YER116C	YMR190C
YER116C	YMR190C
YER116C	YMR190C
YER116C	YMR190C
YER116C	YMR190C
YER116C	YMR190C
YER116C	YNL206C
YER116C	YNL250W
YER116C	YOR080W
YER116C	YOR144C
YER116C	YPL020C
YER116C	YPL020C
YER116C	YPL024W
YER116C	YPL106C
YER116C	YPL240C
YER116C	YPR135W
YER116C	YPR180W
YER117W	YBL087C
YER118C	YHR084W
YER118C	YIL147C
YER118C	YJL062W
YER118C	YJL128C
YER118C	YLR113W
YER118C	YMR032W
YER120W	YCR086W
YER120W	YIL031W
YER120W	YLR039C
YER120W	YLR262C
YER120W	YLR305C
