abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_0360	deoxyadenylate kinase	(1) s_0446 + (1) s_0564 <==> (1) s_0400 + (1) s_0562	reversible	NA	-1000	1000	0		
r_0361	deoxycytidine deaminase	(1) s_0763_b + (1) s_1434_b + (1) s_0136 <==> (1) s_0430 + (1) s_0142	reversible	NA	0	1000	0	(YLR245C)	
r_0362	deoxyguanylate kinase (dGMP:ATP)	(1) s_0446 + (1) s_0593 <==> (1) s_0400 + (1) s_0591	reversible	NA	-1000	1000	0	(YDR454C)	
r_0363	deoxyhypusine synthase, cytosolic/mitochondrial	(1) s_1434_b + (1) s_1321 + (1) s_1410 <==> (1) s_0280 + (1) s_1401 + (1) s_1409	reversible	NA	0	1000	0	(YHR068W)	
r_0364	deoxyribokinase	(1) s_0446 + (1) s_0156 <==> (1) s_0763_b + (1) s_0400 + (1) s_0157	reversible	NA	0	1000	0	(YCR036W)	
r_0365	deoxyuridine kinase (ATP:deoxyuridine)	(1) s_0446 + (1) s_0142 <==> (1) s_0763_b + (1) s_0400 + (1) s_0624	reversible	NA	0	1000	0		
r_0366	deoxyuridine phosphorylase	(1) s_1207 + (1) s_0142 <==> (1) s_1421 + (1) s_0155	reversible	NA	-1000	1000	0	(YLR209C)	
r_0367	dephospho-CoA kinase	(1) s_0446 + (1) s_0202 <==> (1) s_0763_b + (1) s_0514 + (1) s_0400	reversible	NA	0	1000	0		
r_0369	dethiobiotin synthase	(1) s_0446 + (1) s_0470 + (1) s_0348 <==> (3) s_0763_b + (1) s_0400 + (1) s_1207 + (1) s_0590	reversible	NA	-1000	1000	0	(YNR057C)	
r_0370	diacylglycerol acyltransferase	(1) s_0386 + (1) s_0596 <==> (4) s_0763_b + (1) s_0514 + (1) s_1399	reversible	NA	-1000	1000	0	(YOR245C)	
r_0371	diacylglycerol pyrophosphate phosphatase	(1) s_1434_b + (1) s_1215 <==> (2) s_0763_b + (1) s_1207 + (1) s_0596	reversible	NA	-1000	1000	0	(YDR284C)	
r_0372	diamine transaminase	(1) s_0380 + (1) s_1323 <==> (1) s_0763_b + (1) s_0514 + (1) s_1050	reversible	NA	0	1000	0		
r_0373	dihydoorotic acid (ubiquinone-6)	(1) s_1410 + (1) s_0064 <==> (1) s_1409 + (1) s_1154	reversible	NA	0	1000	0	(YKL216W)	
r_0374	dihydoorotic acid dehydrogenase	(1) s_1160 + (1) s_0064 <==> (1) s_0801 + (1) s_1154	reversible	NA	0	1000	0	(YKL216W)	
r_0375	dihydrofolate reductase	(1) s_0763_b + (1) s_1096 + (1) s_0601 <==> (1) s_1091 + (1) s_0309	reversible	NA	0	1000	0	(YOR236W)	
r_0377	dihydrofolate synthase	(1) s_0446 + (1) s_0899 + (1) s_0354 <==> (1) s_0763_b + (1) s_0400 + (1) s_1207 + (1) s_0601	reversible	NA	0	1000	0	(YMR113W)	
r_0378	dihydroneopterin aldolase	(1) s_0350 <==> (1) s_0152 + (1) s_0745	reversible	NA	0	1000	0	(YNL256W)	
r_0379	dihydroneopterin monophosphate dephosphorylase	(1) s_1434_b + (1) s_0352 <==> (1) s_1207 + (1) s_0350	reversible	NA	0	1000	0	(YDL100C)	
r_0380	dihydroneopterin triphosphate pyrophosphatase	(1) s_1434_b + (1) s_0353 <==> (1) s_0763_b + (1) s_0605 + (1) s_0352	reversible	NA	0	1000	0		
r_0381	dihydroorotase	(1) s_1434_b + (1) s_0064 <==> (1) s_0763_b + (1) s_1073	reversible	NA	-1000	1000	0	(YLR420W)	
r_0382	dihydropteroate synthase	(1) s_0152 + (1) s_0277 <==> (1) s_1434_b + (1) s_0354	reversible	NA	0	1000	0	(YNL256W)	
r_0383	dihydropteroate synthase	(1) s_0005 + (1) s_0277 <==> (1) s_0605 + (1) s_0354	reversible	NA	0	1000	0	(YNL256W)	
r_0384	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	(1) s_0018 <==> (1) s_1434_b + (1) s_0238	reversible	NA	0	1000	0	(YJR016C)	
r_0385	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	(1) s_0007 <==> (1) s_1434_b + (1) s_0058	reversible	NA	0	1000	0	(YJR016C)	
r_0386	dihydroxyacetone kinase	(1) s_0446 + (1) s_0734 <==> (1) s_0763_b + (1) s_0400 + (1) s_0735	reversible	NA	0	1000	0	((YFL053W) or (YML070W))	
r_0387	dimethylallyltranstransferase	(1) s_0850 + (1) s_1257 <==> (1) s_0605 + (1) s_0712	reversible	NA	0	1000	0	(YJL167W)	
r_0388	diphosphoglyceromutase	(1) s_0265 <==> (1) s_0763_b + (1) s_0144	reversible	NA	-1000	1000	0	(YKL152C)	
r_0389	diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase	(3) s_1434_b + (1) s_0312 <==> (6) s_0763_b + (3) s_1207 + (1) s_1024	reversible	NA	0	1000	0	(YOR163W)	
r_0390	diphosphoinositol-1,3,4,6-tetrakisphosphate synthase	(5) s_0763_b + (1) s_0446 + (2) s_1207 + (1) s_1024 <==> (2) s_1434_b + (1) s_0400 + (1) s_0312	reversible	NA	0	1000	0	(YDR017C)	
r_0391	diphthine synthase	(1) s_1293 + (1) s_0147 <==> (1) s_0763_b + (1) s_1290 + (1) s_0148	reversible	NA	0	1000	0	(YLR172C)	
r_0392	dolichol kinase	(1) s_0521 + (1) s_0613 <==> (1) s_0763_b + (1) s_0481 + (1) s_0616	reversible	NA	0	1000	0	(YMR013C)	
r_0393	dolichyl-phosphate D-mannosyltransferase	(1) s_0710 + (1) s_0616 <==> (1) s_0706 + (1) s_0615	reversible	NA	0	1000	0	(YPR183W)	
r_0394	dolichyl-phosphate-mannose--protein mannosyltransferase	(1) s_0615 <==> (1) s_0763_b + (1) s_0616 + (1) s_1011	reversible	NA	0	1000	0	((YDL093W) or (YGR199W) or (YJR143C) or (YOR321W) or ((YAL023C) and (YDL095W)))	
r_0395	dTMP kinase	(1) s_0446 + (1) s_0619 <==> (1) s_0400 + (1) s_0618	reversible	NA	-1000	1000	0	(YJR057W)	
r_0396	dUTP diphosphatase	(1) s_1434_b + (1) s_0626 <==> (1) s_0763_b + (1) s_0624 + (1) s_0605	reversible	NA	0	1000	0	(YBR252W)	
r_0397	endopolygalacturonase	(1) s_1436_b + (1) s_1194_b <==> (1) s_0542_b	reversible	NA	0	0	0	(YJR153W)	
r_0398	enolase	(1) s_0193 <==> (1) s_1434_b + (1) s_1243	reversible	NA	-1000	1000	0	((YGR254W) or (YHR174W))	
r_0399	enoyl-CoA hydratase	(1) s_0230 <==> (1) s_1434_b + (1) s_1377	reversible	NA	-1000	1000	0	(YJL097W)	
r_0400	ethanolamine kinase	(1) s_0446 + (1) s_0653 <==> (1) s_0763_b + (1) s_0400 + (1) s_1124	reversible	NA	0	1000	0	((YDR147W) or (YLR133W))	
r_0401	ethyl acetate-hydrolyzing esterase	(1) s_1434_b + (1) s_0655 <==> (1) s_0763_b + (1) s_0369 + (1) s_0650	reversible	NA	0	1000	0	(YOR126C)	
r_0402	exo-1,3-beta-glucan glucohydrase	(1) s_1436_b + (1) s_0003_b <==> (1) s_0547_b	reversible	NA	0	0	0	((YDR261C) or (YGR282C) or (YLR300W) or (YNR067C) or (YOR190W))	
r_0403	farnesyltransferase to proteins with CAAX motif at C-terminus, where X={ser,cys,Met,ala}	(1) s_0661 + (1) s_1500_b <==> (1) s_2531	reversible	NA	-1000	1000	0	((YDL090C) and (YKL019W))	
r_0404	farnesyltransferase to proteins with CAAX motif at C-terminus, where X={ser,cys,Met,ala}	(1) s_0661 + (1) s_1499_b <==> (1) s_2534	reversible	NA	-1000	1000	0	((YGL155W) and (YKL019W))	
r_0405	farnesyltranstransferase	(1) s_0850 + (1) s_0195 <==> (1) s_0605 + (1) s_0194	reversible	NA	0	1000	0	(YPL069C)	
r_0406	fatty acid oxidation	(6) s_1082 + (6) s_1434_b + (6) s_0514 + (5) s_1160 + (1) s_1360 <==> (6) s_0763_b + (6) s_1087 + (7) s_0380 + (5) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YOR180C)))	
r_0407	fatty acid oxidation	(7) s_1082 + (7) s_1434_b + (7) s_0514 + (1) s_1096 + (7) s_1160 + (1) s_0782 <==> (6) s_0763_b + (7) s_1087 + (1) s_1091 + (8) s_0380 + (7) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W) and (YOR180C)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YNL202W) and (YOR180C)))	
r_0408	fatty acid oxidation	(7) s_1082 + (7) s_1434_b + (7) s_0514 + (6) s_1160 + (1) s_0782 <==> (7) s_0763_b + (7) s_1087 + (8) s_0380 + (6) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YOR180C)))	
r_0409	fatty acid oxidation	(8) s_1082 + (8) s_1434_b + (8) s_0514 + (1) s_1096 + (8) s_1160 + (1) s_1147 <==> (7) s_0763_b + (8) s_1087 + (1) s_1091 + (9) s_0380 + (8) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W) and (YOR180C)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YNL202W) and (YOR180C)))	
r_0410	fatty acid oxidation	(8) s_1082 + (8) s_1434_b + (8) s_0514 + (7) s_1160 + (1) s_1147 <==> (8) s_0763_b + (8) s_1087 + (9) s_0380 + (7) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YOR180C)))	
r_0411	fatty acid oxidation	(8) s_1082 + (8) s_1434_b + (8) s_0514 + (2) s_1096 + (8) s_1160 + (1) s_1129 <==> (6) s_0763_b + (8) s_1087 + (2) s_1091 + (9) s_0380 + (8) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W) and (YOR180C)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YNL202W) and (YOR180C)))	
r_0412	fatty acid oxidation	(8) s_1082 + (8) s_1434_b + (8) s_0514 + (1) s_1096 + (7) s_1160 + (1) s_1129 <==> (7) s_0763_b + (8) s_1087 + (1) s_1091 + (9) s_0380 + (7) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YNL202W) and (YOR180C)))	
r_0413	fatty acid oxidation	(8) s_1082 + (8) s_1434_b + (8) s_0514 + (6) s_1160 + (1) s_1129 <==> (8) s_0763_b + (8) s_1087 + (9) s_0380 + (6) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YOR180C)))	
r_0414	fatty acid oxidation	(6) s_1082 + (6) s_1434_b + (6) s_0514 + (1) s_1096 + (6) s_1160 + (1) s_1360 <==> (5) s_0763_b + (6) s_1087 + (1) s_1091 + (7) s_0380 + (6) s_0801	reversible	NA	0	1000	0	(((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YLR284C) and (YNL202W) and (YOR180C)) or ((YGL205W) and (YIL160C) and (YKR009C) and (YNL202W) and (YOR180C)))	
r_0415	fatty acid oxidation (octanoyl-CoA)	(3) s_1082 + (3) s_1434_b + (3) s_0514 + (3) s_1160 + (1) s_1140 <==> (3) s_0763_b + (3) s_1087 + (4) s_0380 + (3) s_0801	reversible	NA	0	1000	0	((YGL205W) and (YIL160C) and (YKR009C))	
r_0416	fatty acid oxidation (tetradecansoyl-CoA)	(3) s_1082 + (3) s_1434_b + (3) s_0514 + (3) s_1160 + (1) s_1355 <==> (3) s_0763_b + (3) s_1087 + (3) s_0380 + (3) s_0801 + (1) s_1334	reversible	NA	0	1000	0	((YGL205W) and (YIL160C) and (YKR009C))	
r_0417	fatty acid synthase (n-C10:0)	(3) s_0763_b + (2) s_1096 + (1) s_1005 + (1) s_1132 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_0574	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0418	fatty acid synthase (n-C12:0)	(3) s_0763_b + (2) s_1096 + (1) s_1005 + (1) s_0574 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_0968	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0419	fatty acid synthase (n-C14:0)	(3) s_0763_b + (2) s_1096 + (1) s_1005 + (1) s_0968 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_1028	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0420	fatty acid synthase (n-C14:1)	(4) s_0763_b + (3) s_1096 + (1) s_1160 + (1) s_1005 + (1) s_0968 <==> (3) s_1434_b + (1) s_0514 + (3) s_1091 + (1) s_0470 + (1) s_1035	reversible	NA	0	1000	0	(YJL196C)	
r_0421	fatty acid synthase (n-C16:0)	(3) s_0763_b + (2) s_1096 + (1) s_1005 + (1) s_1028 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_1170	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0422	fatty acid synthase (n-C16:1)	(4) s_0763_b + (3) s_1096 + (1) s_1160 + (1) s_1005 + (1) s_1028 <==> (3) s_1434_b + (1) s_0514 + (3) s_1091 + (1) s_0470 + (1) s_1177	reversible	NA	0	1000	0	(YJL196C)	
r_0423	fatty acid synthase (n-C18:0)	(3) s_0763_b + (2) s_1096 + (1) s_1005 + (1) s_1170 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_1329	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0424	fatty acid synthase (n-C18:1)	(4) s_0763_b + (3) s_1096 + (1) s_1160 + (1) s_1005 + (1) s_1170 <==> (3) s_1434_b + (1) s_0514 + (3) s_1091 + (1) s_0470 + (1) s_1145	reversible	NA	0	1000	0	(YJL196C)	
r_0425	fatty acid synthase (n-C24:0), lumped reaction	(9) s_0763_b + (6) s_1096 + (3) s_1005 + (1) s_1329 <==> (3) s_1434_b + (3) s_0514 + (6) s_1091 + (3) s_0470 + (1) s_0987	reversible	NA	0	1000	0	((YCR034W) and (YDL015C) and (YLR372W))	
r_0426	fatty acid synthase (n-C26:0)	(3) s_0763_b + (2) s_1096 + (1) s_1005 + (1) s_0987 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_0491	reversible	NA	0	1000	0	((YCR034W) and (YDL015C) and (YLR372W))	
r_0427	fatty acid synthase (n-C8:0), lumped reaction	(8) s_0763_b + (6) s_1096 + (1) s_0380 + (3) s_1005 <==> (2) s_1434_b + (4) s_0514 + (6) s_1091 + (3) s_0470 + (1) s_1132	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0428	fatty acyl-ACP synthase (n-C8:0ACP), lumped reaction	(9) s_0763_b + (6) s_1096 + (1) s_0378 + (3) s_0478 <==> (3) s_1434_b + (6) s_1091 + (3) s_0470 + (3) s_1495_b + (1) s_1139	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0429	fatty acyl-CoA synthase (n-C10:0CoA)	(3) s_0763_b + (2) s_1096 + (1) s_1140 + (1) s_1005 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_0582	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0430	fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction	(9) s_0763_b + (6) s_1096 + (1) s_0380 + (3) s_1005 <==> (3) s_1434_b + (3) s_0514 + (6) s_1091 + (3) s_0470 + (1) s_1140	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0431	fatty-acid--CoA ligase (decanoate)	(1) s_0514 + (1) s_0446 + (1) s_0574 <==> (1) s_0434 + (1) s_0582 + (1) s_0605	reversible	NA	-1000	1000	0	(YER015W)	
r_0432	fatty-acid--CoA ligase (dodecanoate)	(1) s_0514 + (1) s_0446 + (1) s_0968 <==> (1) s_0434 + (1) s_0977 + (1) s_0605	reversible	NA	-1000	1000	0	(YER015W)	
r_0433	fatty-acid--CoA ligase (hexadecanoate)	(1) s_0514 + (1) s_0446 + (1) s_1170 <==> (1) s_0434 + (1) s_1187 + (1) s_0605	reversible	NA	-1000	1000	0	((YIL009W) or (YMR246W) or (YOR317W))	
r_0435	fatty-acid--CoA ligase (hexadecenoate)	(1) s_0514 + (1) s_0446 + (1) s_1177 <==> (1) s_0434 + (1) s_0782 + (1) s_0605	reversible	NA	-1000	1000	0	((YIL009W) or (YMR246W) or (YOR317W))	
r_0437	fatty-acid--CoA ligase (n-C24:0)	(1) s_0514 + (1) s_0446 + (1) s_0987 <==> (1) s_0434 + (1) s_1355 + (1) s_0605	reversible	NA	-1000	1000	0	(YBR041W)	
r_0438	fatty-acid--CoA ligase (n-C26:0)	(1) s_0514 + (1) s_0446 + (1) s_0491 <==> (1) s_0434 + (1) s_0605 + (1) s_0778	reversible	NA	-1000	1000	0	(YBR041W)	
r_0439	fatty-acid--CoA ligase (octadecanoate)	(1) s_0514 + (1) s_0446 + (1) s_1329 <==> (1) s_0434 + (1) s_0605 + (1) s_1334	reversible	NA	-1000	1000	0	((YIL009W) or (YMR246W) or (YOR317W))	
r_0440	fatty-acid--CoA ligase (octadecenoate)	(1) s_0514 + (1) s_0446 + (1) s_1145 <==> (1) s_0434 + (1) s_0605 + (1) s_1147	reversible	NA	-1000	1000	0	((YIL009W) or (YMR246W) or (YOR317W))	
r_0441	fatty-acid--CoA ligase (octadecynoate)	(1) s_0514 + (1) s_0446 + (1) s_0994 <==> (1) s_0434 + (1) s_0605 + (1) s_1129	reversible	NA	-1000	1000	0	((YIL009W) or (YMR246W) or (YOR317W))	
r_0442	fatty-acid--CoA ligase (octanoate)	(1) s_0514 + (1) s_0446 + (1) s_1132 <==> (1) s_0434 + (1) s_1140 + (1) s_0605	reversible	NA	-1000	1000	0	(YER015W)	
r_0443	fatty-acid--CoA ligase (tetradecanoate)	(1) s_0514 + (1) s_0446 + (1) s_1028 <==> (1) s_0434 + (1) s_1044 + (1) s_0605	reversible	NA	-1000	1000	0	((YIL009W) or (YMR246W) or (YOR317W))	
r_0445	fatty-acid--CoA ligase (tetradecenoate)	(1) s_0514 + (1) s_0446 + (1) s_1035 <==> (1) s_0434 + (1) s_0605 + (1) s_1360	reversible	NA	-1000	1000	0	((YIL009W) or (YMR246W) or (YOR317W))	
r_0447	fatty-acyl-ACP hydrolase	(1) s_1434_b + (1) s_0975 <==> (1) s_0763_b + (1) s_1495_b + (1) s_0968	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0448	fatty-acyl-ACP hydrolase	(1) s_1434_b + (1) s_1042 <==> (1) s_0763_b + (1) s_1495_b + (1) s_1028	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0449	fatty-acyl-ACP hydrolase	(1) s_1434_b + (1) s_0073 <==> (1) s_0763_b + (1) s_1495_b + (1) s_1035	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0450	fatty-acyl-ACP hydrolase	(1) s_1434_b + (1) s_1185 <==> (1) s_0763_b + (1) s_1495_b + (1) s_1170	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0451	fatty-acyl-ACP hydrolase	(1) s_1434_b + (1) s_0503 <==> (1) s_0763_b + (1) s_1495_b + (1) s_1177	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0452	fatty-acyl-ACP hydrolase	(1) s_1434_b + (1) s_1332 <==> (1) s_0763_b + (1) s_1495_b + (1) s_1329	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0453	fatty-acyl-ACP hydrolase	(1) s_1434_b + (1) s_0505 <==> (1) s_0763_b + (1) s_1495_b + (1) s_1145	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0454	fatty-acyl-ACP hydrolase	(1) s_1434_b + (1) s_1127 <==> (1) s_0763_b + (1) s_1495_b + (1) s_0994	reversible	NA	-1000	1000	0	((YKL182W) and (YPL231W))	
r_0455	fatty-acyl-ACP synthase (n-C10:0ACP)	(3) s_0763_b + (2) s_1096 + (1) s_0478 + (1) s_1139 <==> (1) s_1434_b + (2) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_0581	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0456	fatty-acyl-ACP synthase (n-C12:0ACP)	(3) s_0763_b + (2) s_1096 + (1) s_0478 + (1) s_0581 <==> (1) s_1434_b + (2) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_0975	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0457	fatty-acyl-ACP synthase (n-C14:0ACP)	(3) s_0763_b + (2) s_1096 + (1) s_0478 + (1) s_0975 <==> (1) s_1434_b + (2) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_1042	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0458	fatty-acyl-ACP synthase (n-C14:1ACP)	(4) s_0763_b + (3) s_1096 + (1) s_1160 + (1) s_0478 + (1) s_0975 <==> (3) s_1434_b + (3) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_0073	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0459	fatty-acyl-ACP synthase (n-C16:0ACP)	(3) s_0763_b + (2) s_1096 + (1) s_0478 + (1) s_1042 <==> (1) s_1434_b + (2) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_1185	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0460	fatty-acyl-ACP synthase (n-C16:1ACP)	(4) s_0763_b + (3) s_1096 + (1) s_1160 + (1) s_0478 + (1) s_1042 <==> (3) s_1434_b + (3) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_0503	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0461	fatty-acyl-ACP synthase (n-C18:0ACP)	(3) s_0763_b + (2) s_1096 + (1) s_0478 + (1) s_1185 <==> (1) s_1434_b + (2) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_1332	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0462	fatty-acyl-ACP synthase (n-C18:1ACP)	(4) s_0763_b + (3) s_1096 + (1) s_1160 + (1) s_0478 + (1) s_1185 <==> (3) s_1434_b + (3) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_0505	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0463	fatty-acyl-ACP synthase (n-C18:2ACP)	(5) s_0763_b + (4) s_1096 + (2) s_1160 + (1) s_0478 + (1) s_1185 <==> (5) s_1434_b + (4) s_1091 + (1) s_0470 + (1) s_1495_b + (1) s_1127	reversible	NA	0	1000	0	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0464	fatty-acyl-CoA synthase (n-C12:0CoA)	(3) s_0763_b + (2) s_1096 + (1) s_0582 + (1) s_1005 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_0977	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0465	fatty-acyl-CoA synthase (n-C14:0CoA)	(3) s_0763_b + (2) s_1096 + (1) s_0977 + (1) s_1005 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_1044	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0466	fatty-acyl-CoA synthase (n-C16:0CoA)	(3) s_0763_b + (2) s_1096 + (1) s_1044 + (1) s_1005 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_1187	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0467	fatty-acyl-CoA synthase (n-C18:0CoA)	(3) s_0763_b + (2) s_1096 + (1) s_1187 + (1) s_1005 <==> (1) s_1434_b + (1) s_0514 + (2) s_1091 + (1) s_0470 + (1) s_1334	reversible	NA	0	1000	0	((YGR037C) and (YKL182W) and (YNR016C) and (YPL231W))	
r_0468	ferrochelatase	(1) s_0831 + (1) s_1264 <==> (2) s_0763_b + (1) s_0681	reversible	NA	0	1000	0	(YOR176W)	
r_0469	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	(2) s_0680 + (1) s_0801 <==> (2) s_0679 + (2) s_1434_b	reversible	NA	0	1000	0	(((YEL039C) and (YKR066C)) or ((YJR048W) and (YKR066C)))	
r_0470	ferrocytochrome-c:oxygen oxidoreductase	(4) s_0680 + (1) s_1160 <==> (4) s_0679 + (2) s_1434_b	reversible	NA	0	1000	0	(((Q0045) and (Q0250) and (Q0275) and (YDL067C) and (YEL039C) and (YGL187C) and (YGL191W) and (YHR051W) and (YIL111W) and (YLR038C) and (YLR395C) and (YMR256C)) or ((Q0045) and (Q0250) and (Q0275) and (YDL067C) and (YEL039C) and (YGL187C) and (YGL191W) and (YHR051W) and (YLR038C) and (YLR395C) and (YMR256C) and (YNL052W)) or ((Q0045) and (Q0250) and (Q0275) and (YDL067C) and (YGL187C) and (YGL191W) and (YHR051W) and (YIL111W) and (YJR048W) and (YLR038C) and (YLR395C) and (YMR256C)) or ((Q0045) and (Q0250) and (Q0275) and (YDL067C) and (YGL187C) and (YGL191W) and (YHR051W) and (YJR048W) and (YLR038C) and (YLR395C) and (YMR256C) and (YNL052W)))	
r_0471	ferrocytochrome-c:oxygen oxidoreductase	(2) s_0679 + (1) s_1409 <==> (2) s_0680 + (1) s_1410	reversible	NA	0	1000	0	(((Q0105) and (YBL045C) and (YDR529C) and (YEL024W) and (YEL039C) and (YFR033C) and (YGR183C) and (YHR001W-A) and (YJL166W) and (YOR065W) and (YPR191W)) or ((Q0105) and (YBL045C) and (YDR529C) and (YEL024W) and (YFR033C) and (YGR183C) and (YHR001W-A) and (YJL166W) and (YJR048W) and (YOR065W) and (YPR191W)))	
r_0472	FMN adenylyltransferase	(1) s_0763_b + (1) s_0446 + (1) s_0683 <==> (1) s_0605 + (1) s_0657	reversible	NA	0	1000	0	(YDL045C)	
